train_loss,train_acc,val_loss,val_acc
0.9844,0.6409,0.3272,0.9030
0.3790,0.8643,0.1194,0.9634
0.1922,0.9278,0.0761,0.9763
0.1513,0.9463,0.0582,0.9806
0.1251,0.9614,0.0482,0.9871
0.0711,0.9770,0.0483,0.9849
0.0764,0.9773,0.0584,0.9828
0.0853,0.9718,0.0724,0.9849
0.0675,0.9753,0.0426,0.9892
0.0638,0.9784,0.0584,0.9871
